IDa	Descriptionf
D143_A1B	Distance_between_nuclear_outline_point_D6-1_and_middle_point_of_neck
D145_A1B	Distance_between_nuclear_outline_point_D7_and_mother_hip
D147_A1B	Relative_distance_of_nuclear_gravity_center_to_mother_center
D148_A1B	Relative_distance_of_nuclear_brightest_point_to_mother_center
D152_A1B	Mobility_of_nucleus_in_mother
D154_A1B	Angle_between_C1D1-1_and_C1C1-2
D155_A1B	Angle_between_C1D2-1_and_C1C1-2
D161_A1B	Angle_between_D3-1D4-1_and_C1-1C1-2_or_between_D3-3D4-3_and_C1-1C1-2
D165_A1B	Angle_between_D3-1D4-1_and_C1C4-1_or_between_D3-3D4-3_and_C1C4-1
D169_A1B	Angle_between_C4-1D1-1_and_C4-1C1
D170_A1B	Angle_between_C4-1D2-1_and_C4-1C1
D172_A1B	Angle_between_C4-1D4_and_C4-1C1
D175_A1B	Maximal_distance_between_nuclear_gravity_center_and_nuclear_outline
D178_A1B	Nuclear_long_axis_length
D181_A1B	Nuclear_minimum_radius
D184_A1B	Nuclear_axis_ratio
D190_A1B	Distance_between_nuclear_gravity_center_and_brightest_point
D193_A1B	Average_of_nuclear_brightness
D196_A1B	Maximal_intensity_of_nuclear_brightness_divided_by_average
CCV11-1_A1B	Noise_of_mother_cell_size
CCV11-2_A1B	Noise_of_bud_cell_size
CCV12-1_A1B	Noise_of_mother_cell_outline_length
CCV12-2_A1B	Noise_of_bud_cell_outline_length
CCV13_A1B	Noise_of_mother_cell_fitness_for_ellipse
CCV101_A1B	Noise_of_whole_cell_size
CCV102_A1B	Noise_of_whole_cell_outline_length
CCV103_A1B	Noise_of_long_axis_length_in_mother
CCV104_A1B	Noise_of_short_axis_length_in_mother
CCV105_A1B	Noise_of_neck_position
CCV106_A1B	Noise_of_bud_direction
CCV107_A1B	Noise_of_long_axis_length_in_bud
CCV108_A1B	Noise_of_short_axis_length_in_bud
CCV109_A1B	Noise_of_neck_width
CCV110_A1B	Noise_of_distance_between_bud_tip_and_mother_long_axis_extension
CCV111_A1B	Noise_of_distance_between_bud_tip_and_mother_short_axis_extension
CCV112_A1B	Noise_of_distance_between_middle_point_of_neck_and_mother_center
CCV113_A1B	Noise_of_distance_between_bud_tip_and_mother_long_axis_through_middle_point_of_neck
CCV114_A1B	Noise_of_bud_axis_ratio
CCV115_A1B	Noise_of_mother_axis_ratio
CCV116_A1B	Noise_of_axis_ratio_ratio
CCV117_A1B	Noise_of_cell_outline_ratio
CCV118_A1B	Noise_of_cell_size_ratio
CCV126_A1B	Noise_of_brightness_difference_of_cell_wall
CCV127_A1B	Noise_of_thickness_difference_of_cell_wall
CCV128_A1B	Noise_of_distance_between_middle_point_of_neck_and_mother_hip
ACV7-1_A1B	Noise_of_size_of_actin_region_in_mother
ACV7-2_A1B	Noise_of_size_of_actin_region_in_bud
ACV8-1_A1B	Noise_of_total_brightness_of_actin_region_in_mother
ACV8-2_A1B	Noise_of_total_brightness_of_actin_region_in_bud
ACV9_A1B	Noise_of_proportion_of_actin_region_at_neck
ACV101_A1B	Noise_of_actin_region_ratio_in_whole_cell
ACV102_A1B	Noise_of_bud_actin_region_ratio_to_total_region
ACV103_A1B	Noise_of_relative_distance_of_actin_patch_center_from_neck_in_mother
ACV104_A1B	Noise_of_relative_distance_of_actin_patch_center_from_neck_in_bud
ACV120_A1B	Noise_of_total_length_of_actin_patch_link
ACV121_A1B	Noise_of_maximal_distance_between_patches
ACV122_A1B	Noise_of_number_of_bright_actin_patches
ACV123_A1B	Noise_of_ratio_of_actin_patches_to_actin_region
DCV14-3_A1B	Noise_of_nuclear_size
DCV15-3_A1B	Noise_of_nuclear_brightness
DCV16-3_A1B	Noise_of_maximal_intensity_of_nuclear_brightness
DCV17-3_A1B	Noise_of_nuclear_fitness_for_ellipse
DCV104_A1B	Noise_of_distance_between_nuclear_gravity_center_and_mother_tip
DCV107_A1B	Noise_of_ratio_of_D104_to_C103
DCV110_A1B	Noise_of_distance_between_nuclear_gravity_center_and_middle_point_of_neck
DCV114_A1B	Noise_of_ratio_of_D110_to_C128
DCV118_A1B	Noise_of_distance_between_nuclear_gravity_center_and_mother_center
DCV126_A1B	Noise_of_distance_between_nuclear_gravity_center_and_mother_hip
DCV129_A1B	Noise_of_distance_between_nuclear_brightest_point_and_mother_tip
DCV132_A1B	Noise_of_distance_between_nuclear_brightest_point_and_middle_point_of_neck
DCV136_A1B	Noise_of_distance_between_nuclear_brightest_point_and_mother_center
DCV142_A1B	Noise_of_distance_between_nuclear_brightest_point_and_mother_hip
DCV143_A1B	Noise_of_distance_between_nuclear_outline_point_D6-1_and_middle_point_of_neck
DCV145_A1B	Noise_of_distance_between_nuclear_outline_point_D7_and_mother_hip
DCV147_A1B	Noise_of_relative_distance_of_nuclear_gravity_center_to_mother_center
DCV148_A1B	Noise_of_relative_distance_of_nuclear_brightest_point_to_mother_center
DCV152_A1B	Noise_of_mobility_of_nucleus_in_mother
DCV154_A1B	Noise_of_angle_between_C1D1-1_and_C1C1-2
DCV155_A1B	Noise_of_angle_between_C1D2-1_and_C1C1-2
DCV161_A1B	Noise_of_angle_between_D3-1D4-1_and_C1-1C1-2_or_between_D3-3D4-3_and_C1-1C1-2
DCV165_A1B	Noise_of_angle_between_D3-1D4-1_and_C1C4-1_or_between_D3-3D4-3_and_C1C4-1
DCV169_A1B	Noise_of_angle_between_C4-1D1-1_and_C4-1C1
DCV170_A1B	Noise_of_angle_between_C4-1D2-1_and_C4-1C1
DCV172_A1B	Noise_of_angle_between_C4-1D4_and_C4-1C1
DCV175_A1B	Noise_of_maximal_distance_between_nuclear_gravity_center_and_nuclear_outline
DCV178_A1B	Noise_of_nuclear_long_axis_length
DCV181_A1B	Noise_of_nuclear_minimum_radius
DCV184_A1B	Noise_of_nuclear_axis_ratio
DCV190_A1B	Noise_of_distance_between_nuclear_gravity_center_and_brightest_point
DCV193_A1B	Noise_of_average_of_nuclear_brightness
DCV196_A1B	Noise_of_maximal_intensity_of_nuclear_brightness_divided_by_average
C11-1_C	Mother_cell_size
C11-2_C	Bud_cell_size
C12-1_C	Mother_cell_outline_length
C12-2_C	Bud_cell_outline_length
C13_C	Mother_cell_fitness_for_ellipse
C101_C	Whole_cell_size
C102_C	Whole_cell_outline_length
C103_C	Long_axis_length_in_mother
C104_C	Short_axis_length_in_mother
C105_C	Neck_position
C106_C	Bud_direction
C107_C	Long_axis_length_in_bud
C108_C	Short_axis_length_in_bud
C109_C	Neck_width
C110_C	Distance_between_bud_tip_and_mother_long_axis_extension
C111_C	Distance_between_bud_tip_and_mother_short_axis_extension
C112_C	Distance_between_middle_point_of_neck_and_mother_center
C113_C	Distance_between_bud_tip_and_mother_long_axis_through_middle_point_of_neck
C114_C	Bud_axis_ratio
C115_C	Mother_axis_ratio
C116_C	Axis_ratio_ratio
C117_C	Cell_outline_ratio
C118_C	Cell_size_ratio
C126_C	Brightness_difference_of_cell_wall
C127_C	Thickness_difference_of_cell_wall
C128_C	Distance_between_middle_point_of_neck_and_mother_hip
A7-1_C	Size_of_actin_region_in_mother
A7-2_C	Size_of_actin_region_in_bud
A8-1_C	Total_brightness_of_actin_region_in_mother
A8-2_C	Total_brightness_of_actin_region_in_bud
A9_C	Proportion_of_actin_region_at_neck
A101_C	Actin_region_ratio_in_whole_cell
A102_C	Bud_actin_region_ratio_to_total_region
A103_C	Relative_distance_of_actin_patch_center_from_neck_in_mother
A104_C	Relative_distance_of_actin_patch_center_from_neck_in_bud
A120_C	Total_length_of_actin_patch_link
A121_C	Maximal_distance_between_patches
A122_C	Number_of_bright_actin_patches
A123_C	Ratio_of_actin_patches_to_actin_region
D14-1_C	Nuclear_size_in_mother
D14-2_C	Nuclear_size_in_bud
D14-3_C	Nuclear_size_in_whole_cell
D15-1_C	Nuclear_brightness_in_mother
D15-2_C	Nuclear_brightness_in_bud
D15-3_C	Nuclear_brightness_in_whole_cell
D16-1_C	Maximal_intensity_of_nuclear_brightness_in_mother
D16-2_C	Maximal_intensity_of_nuclear_brightness_in_bud
D16-3_C	Maximal_intensity_of_nuclear_brightness_in_whole_cell
D17-1_C	Nuclear_fitness_for_ellipse_in_mother
D17-2_C	Nuclear_fitness_for_ellipse_in_bud
D103_C	Distance_between_nuclear_gravity_center_in_mother_and_mother_tip
D106_C	Ratio_of_D103_to_C103
D108_C	Distance_between_nuclear_gravity_center_in_mother_and_middle_point_of_neck
D109_C	Distance_between_nuclear_gravity_center_in_bud_and_middle_point_of_neck
D112_C	Ratio_of_D108_to_C128
D113_C	Ratio_of_D109_to_C107
D116_C	Distance_between_two_nuclear_gravity_centers_through_middle_point_of_neck
D117_C	Distance_between_nuclear_gravity_center_in_mother_and_mother_center
D119_C	Distance_between_nuclear_gravity_center_in_bud_and_bud_center
D121_C	Distance_between_nuclear_gravity_center_in_bud_and_bud_tip
D123_C	Ratio_of_D121_to_C107
